id, name, shortName, colorId, professor, eventType, groups, classroom, start, end, description, recurring, recurringType, recurringUntil, studyCode
537781,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-05-29T13:15,2024-05-29T14:45,srijeda 29.5.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535340,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-31T08:00,2024-05-31T09:30,petak 31.5.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
532064,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-06-03T10:15,2024-06-03T12:00,ponedjeljak 3.6.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534203,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-06-03T18:30,2024-06-03T20:00,ponedjeljak 3.6.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
532148,Podržano strojno učenje,PSU,0,Vasilj Josip,PREDAVANJE,,A243,2024-06-04T08:15,2024-06-04T10:00,utorak 4.6.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532088,Metode optimizacije,MO,0,Marasović Jadranka,PREDAVANJE,,C502,2024-06-04T10:15,2024-06-04T12:00,utorak 4.6.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532124,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-06-04T12:15,2024-06-04T14:00,utorak 4.6.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532076,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-06-05T08:15,2024-06-05T11:00,srijeda 5.6.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532100,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-06-05T11:15,2024-06-05T13:00,srijeda 5.6.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537782,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-06-05T13:15,2024-06-05T14:45,srijeda 5.6.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535599,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-06-06T08:30,2024-06-06T10:00,četvrtak 6.6.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
538993,Podržano strojno učenje,PSU,0,Vasilj Josip,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-06-06T10:00,2024-06-06T12:15,četvrtak 6.6.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 13.6.2024.,250
